央视频道,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225769/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225769/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.176.156/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228809/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229818/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230713/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228449/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228504/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228318/01.m3u8?fmt=ts2hls#http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228591/index.m3u8#http://39.134.176.157/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228650/index.m3u8#http://223.110.241.206:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ#http://223.110.241.206:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ#http://117.136.154.98/PLTV/88888888/224/3221225499/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225663/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225764/index.m3u8#http://117.136.154.86/PLTV/88888888/224/3221225608/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225779/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225579/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225680/index.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225783/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225660/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225965/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225846/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225684/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225829/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225652/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221226024/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001018/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-1/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv1.m3u8#rtmp://58.200.131.2:1935/livetv/cctv1hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226226/1.m3u8 
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225747/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.176.163/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230716/01.m3u8?fmt=ts2hls#http://39.134.176.157/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228452/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228482/01.m3u8?fmt=ts2hls#http://223.110.241.206:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ#http://223.110.241.206:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD#http://117.136.154.98/PLTV/88888888/224/3221225502/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225584/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225795/index.m3u8#http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225762/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225831/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225686/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001021/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001840/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-2/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv2.m3u8#rtmp://58.200.131.2:1935/livetv/cctv2hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226230/1.m3u8 
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225713/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230740/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229875/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228563/01.m3u8?fmt=ts2hls#http://223.110.241.206:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ#http://223.110.241.206:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ#http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221225588/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225782/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226398/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221226023/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225630/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001009/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001839/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-3/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv3.m3u8#rtmp://58.200.131.2:1935/livetv/cctv3hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226471/1.m3u8 
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225590/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225753/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229749/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228306/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229319/01.m3u8?fmt=ts2hls#http://223.110.241.206:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ#http://223.110.241.206:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ#http://117.136.154.86/PLTV/88888888/224/3221225501/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225581/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225784/index.m3u8#http://223.110.245.163/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225781/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225662/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001015/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-4/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv4.m3u8#rtmp://58.200.131.2:1935/livetv/cctv4hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226335/1.m3u8 
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225712/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228645/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228965/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229791/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230734/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228570/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228935/index.m3u8#http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228938/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228939/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228942/index.m3u8#http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228945/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228948/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229687/01.m3u8?fmt=ts2hls#http://223.110.241.206:6610/gitv/live1/G_CCTV-5-CQ/G_CCTV-5-CQ#http://223.110.241.206:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ#http://117.136.154.98/PLTV/88888888/224/3221225780/index.m3u8#http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221226362/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225780/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226396/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225837/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221226025/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225758/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001010/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001587/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-5/index.m3u8?IAS#rtmp://58.200.131.2:1935/livetv/cctv5hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226469/1.m3u8 
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225621/index.m3u8#http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228822/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229684/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228372/01.m3u8?fmt=ts2hls#http://223.110.241.206:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ#http://117.136.154.98/PLTV/88888888/224/3221225512/index.m3u8#http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221225604/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225641/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225718/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hdcctv05plus/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8#rtmp://58.200.131.2:1935/livetv/cctv5phd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226225/1.m3u8 
CCTV6,http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230685/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229870/index.m3u8#http://39.134.176.156/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228566/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228594/index.m3u8#http://223.110.241.206:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ#http://223.110.241.206:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225779/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226394/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221226027/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225708/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001016/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001588/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-6/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv6.m3u8#rtmp://58.200.131.2:1935/livetv/cctv6hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226468/1.m3u8 
CCTV7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228455/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228330/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228507/01.m3u8?fmt=ts2hls#http://223.110.241.206:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ#http://117.136.154.68/PLTV/88888888/224/3221225504/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225586/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225797/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225778/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225855/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225768/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001017/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-7/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv7.m3u8#rtmp://58.200.131.2:1935/livetv/cctv7hd#rtmp://58.200.131.2:1935/livetv/gfjstv#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226234/1.m3u8 
CCTV8,http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225750/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225630/index.m3u8#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230737/index.m3u8#http://39.134.176.150/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228569/01.m3u8?fmt=ts2hls#http://39.134.176.167/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228605/index.m3u8#http://223.110.241.206:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ#http://223.110.241.206:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ#http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225759/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226407/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221226029/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225666/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001022/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001849/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-8/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv8.m3u8#rtmp://58.200.131.2:1935/livetv/cctv8hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226485/1.m3u8 
CCTV9,http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8#http://cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8#http://39.134.176.157/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228458/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228510/01.m3u8?fmt=ts2hls#http://39.134.176.166/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228342/01.m3u8?fmt=ts2hls#http://223.110.241.206:6610/gitv/live1/G_CCTV-9/G_CCTV-9#http://117.136.154.98/PLTV/88888888/224/3221225507/index.m3u8#http://117.136.154.98/PLTV/88888888/224/3221225786/index.m3u8#http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225868/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225758/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225672/index.m3u8#http://111.20.105.60:6060/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://111.20.105.60:6060/yinhe/2/ch00000090990000001023/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://39.134.198.38:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-news/index.m3u8?IAS#http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8#rtmp://58.200.131.2:1935/livetv/cctv9hd#http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226236/1.m3u8 
